Ad_Group,Headline,Description,CTA,Theme
Behavioral_Health_RDA_1,Is Your Teen Really Okay?,Balance uses AI to detect depression and anxiety signs before crisis hits.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Is Your Teen Really Okay?,73% of teens hide mental health struggles. Know when your teen needs help.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Is Your Teen Really Okay?,Behavioral changes can signal mental health issues. Get early alerts.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Is Your Teen Really Okay?,Earlier intervention = better outcomes. Monitor teen wellness continuously.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Notice Changes in Your Teen?,Balance uses AI to detect depression and anxiety signs before crisis hits.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Notice Changes in Your Teen?,73% of teens hide mental health struggles. Know when your teen needs help.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Notice Changes in Your Teen?,Behavioral changes can signal mental health issues. Get early alerts.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Notice Changes in Your Teen?,Earlier intervention = better outcomes. Monitor teen wellness continuously.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Catch Warning Signs Early,Balance uses AI to detect depression and anxiety signs before crisis hits.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Catch Warning Signs Early,73% of teens hide mental health struggles. Know when your teen needs help.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Catch Warning Signs Early,Behavioral changes can signal mental health issues. Get early alerts.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Catch Warning Signs Early,Earlier intervention = better outcomes. Monitor teen wellness continuously.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Don't Wait for Crisis,Balance uses AI to detect depression and anxiety signs before crisis hits.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Don't Wait for Crisis,73% of teens hide mental health struggles. Know when your teen needs help.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Don't Wait for Crisis,Behavioral changes can signal mental health issues. Get early alerts.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,Don't Wait for Crisis,Earlier intervention = better outcomes. Monitor teen wellness continuously.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,AI Detects Mood Changes,Balance uses AI to detect depression and anxiety signs before crisis hits.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,AI Detects Mood Changes,73% of teens hide mental health struggles. Know when your teen needs help.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,AI Detects Mood Changes,Behavioral changes can signal mental health issues. Get early alerts.,Learn More,crisis_prevention
Behavioral_Health_RDA_1,AI Detects Mood Changes,Earlier intervention = better outcomes. Monitor teen wellness continuously.,Learn More,crisis_prevention
Behavioral_Health_RDA_2,Understand Your Teen's Digital Life,"Balance analyzes communication patterns, social changes, and mood indicators.",Get Free Trial,behavioral_analysis
Behavioral_Health_RDA_2,Understand Your Teen's Digital Life,Get insights into your teen's digital wellness and behavioral patterns.,Get Free Trial,behavioral_analysis
Behavioral_Health_RDA_2,Understand Your Teen's Digital Life,AI technology helps parents understand complex teenage behavior changes.,Get Free Trial,behavioral_analysis
Behavioral_Health_RDA_2,Understand Your Teen's Digital Life,Comprehensive monitoring goes beyond apps - tracks behavioral health.,Get Free Trial,behavioral_analysis
Behavioral_Health_RDA_2,Beyond Screen Time Monitoring,"Balance analyzes communication patterns, social changes, and mood indicators.",Get Free Trial,behavioral_analysis
Behavioral_Health_RDA_2,Beyond Screen Time Monitoring,Get insights into your teen's digital wellness and behavioral patterns.,Get Free Trial,behavioral_analysis
Behavioral_Health_RDA_2,Beyond Screen Time Monitoring,AI technology helps parents understand complex teenage behavior changes.,Get Free Trial,behavioral_analysis
Behavioral_Health_RDA_2,Beyond Screen Time Monitoring,Comprehensive monitoring goes beyond apps - tracks behavioral health.,Get Free Trial,behavioral_analysis
Behavioral_Health_RDA_2,AI-Powered Behavioral Insights,"Balance analyzes communication patterns, social changes, and mood indicators.",Get Free Trial,behavioral_analysis
Behavioral_Health_RDA_2,AI-Powered Behavioral Insights,Get insights into your teen's digital wellness and behavioral patterns.,Get Free Trial,behavioral_analysis
Behavioral_Health_RDA_2,AI-Powered Behavioral Insights,AI technology helps parents understand complex teenage behavior changes.,Get Free Trial,behavioral_analysis
